,Player,Type,Date,Age,Tm,HomeAway,Opp,GS,MP,PTS,FG,FGpct,FGA,FT,FTpct,FTA,3P,3Ppct,3PA,AST,ORB,DRB,TRB,BLK,STL,TOV,+/-,GmSc,PF,3X2X,2X2X,FP
0,Pau Gasol,3,2015-10-27,35.31,CHI,1,CLE,1,31.55,2.0,1.0,0.143,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,6.0,1.0,0.0,-8.0,2.9,1.0,0,0,18.5
1,Pau Gasol,3,2015-10-28,35.312,CHI,0,BRK,1,30.23,16.0,7.0,0.636,11.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,8.0,9.0,1.0,0.0,3.0,23.0,13.2,2.0,0,0,32.25
2,Pau Gasol,3,2015-10-30,35.318,CHI,0,DET,1,32.05,16.0,7.0,0.5,14.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,3.0,9.0,12.0,3.0,2.0,3.0,-16.0,15.4,4.0,0,1,45.5
3,Pau Gasol,3,2015-11-01,35.323,CHI,1,ORL,1,23.78,16.0,7.0,0.5,14.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,3.0,5.0,8.0,1.0,1.0,1.0,8.0,13.6,1.0,0,0,31.0
4,Pau Gasol,3,2015-11-03,35.329,CHI,0,CHO,1,23.47,13.0,6.0,0.545,11.0,1.0,0.5,2.0,0.0,0.0,1.0,3.0,1.0,7.0,8.0,0.0,0.0,0.0,-6.0,12.2,0.0,0,0,27.5
5,Pau Gasol,3,2015-11-05,35.334,CHI,1,OKC,1,31.95,11.0,5.0,0.417,12.0,1.0,0.25,4.0,0.0,0.0,0.0,2.0,3.0,7.0,10.0,1.0,1.0,0.0,-6.0,10.3,1.0,0,1,32.0
6,Pau Gasol,3,2015-11-07,35.34,CHI,1,MIN,1,39.6,21.0,8.0,0.421,19.0,5.0,0.833,6.0,0.0,0.0,0.0,2.0,3.0,11.0,14.0,1.0,2.0,1.0,-9.0,17.8,3.0,0,1,48.5
7,Pau Gasol,3,2015-11-09,35.345,CHI,0,PHI,1,29.65,16.0,7.0,0.412,17.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,8.0,9.0,6.0,0.0,1.0,25.0,12.7,3.0,0,0,40.25
8,Pau Gasol,3,2015-11-13,35.356,CHI,1,CHO,1,27.52,19.0,7.0,0.538,13.0,5.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,13.0,13.0,2.0,0.0,2.0,-7.0,17.7,1.0,0,1,44.25
9,Pau Gasol,3,2015-11-16,35.364,CHI,1,IND,1,26.93,5.0,2.0,0.182,11.0,1.0,0.333,3.0,0.0,0.0,1.0,3.0,3.0,10.0,13.0,1.0,0.0,1.0,3.0,3.8,1.0,0,0,27.25
10,Pau Gasol,3,2015-11-18,35.37,CHI,0,PHO,1,27.87,17.0,7.0,0.538,13.0,3.0,0.75,4.0,0.0,0.0,0.0,1.0,2.0,6.0,8.0,1.0,2.0,3.0,1.0,13.5,1.0,0,0,33.0
11,Pau Gasol,3,2015-11-20,35.375,CHI,0,GSW,1,26.67,14.0,6.0,0.5,12.0,2.0,1.0,2.0,0.0,0.0,0.0,5.0,2.0,8.0,10.0,1.0,1.0,2.0,0.0,13.8,3.0,0,1,38.5
12,Pau Gasol,3,2015-11-24,35.386,CHI,0,POR,1,28.6,12.0,5.0,0.333,15.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,14.0,1.0,0.0,0.0,0.0,8.8,1.0,0,1,33.0
13,Pau Gasol,3,2015-11-27,35.395,CHI,0,IND,1,27.08,9.0,4.0,0.25,16.0,1.0,0.5,2.0,0.0,0.0,1.0,4.0,3.0,8.0,11.0,0.0,0.0,1.0,-9.0,3.7,4.0,0,0,28.25
